condition,label,expected_direction,coef_locked_from_tune,baseline_logit,best_logit_test,delta_logit,std_logit,error_source
devils_advocate,Devil's Advocate,decrease,2000.0,1.0094791746139526,0.4939236299196879,-0.5155555446942648,0.028111558716880494,multiseed_n3
contrarian,Contrarian,decrease,1000.0,1.0094791746139526,0.728506937093205,-0.2809722375207476,0.006715600529699568,multiseed_n3
skeptic,Skeptic,decrease,2000.0,1.0094791746139526,0.3037847257322735,-0.7056944488816792,0.027211492261272934,multiseed_n3
judge,Judge,decrease,2000.0,1.0094791746139526,0.45817707220713294,-0.5513021024068196,0.013036752677677439,multiseed_n3
scientist,Scientist,decrease,2000.0,1.0094791746139526,0.5060590251949099,-0.5034201494190428,0.005292631832352048,multiseed_n3
assistant_axis,Assistant Axis,decrease,2000.0,1.0094791746139526,0.6392187351650662,-0.3702604394488864,0.03160439342766084,multiseed_n3
caa,CAA (targeted),decrease,-2000.0,1.0094791746139526,0.1351388957765367,-0.8743402788374159,0.014194718594756206,multiseed_n3
peacekeeper,Peacekeeper,increase,5000.0,1.0094791746139526,0.963020836201807,-0.04645833841214564,0.017935652700135453,multiseed_n3
pacifist,Pacifist,increase,2000.0,1.0094791746139526,1.114531245753169,0.10505207113921644,0.012737755276128939,multiseed_n3
collaborator,Collaborator,increase,500.0,1.0094791746139526,1.0597048699855804,0.0502256953716278,0.00883672620544425,multiseed_n3
facilitator,Facilitator,increase,-5000.0,1.0094791746139526,0.2876041735543145,-0.7218750010596382,0.019244339257534233,multiseed_n3
